"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=False, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,681.99,593.47,292.16,242.00,1620.51
2,559.03,570.63,217.35,253.58,1206.84
3,446.66,437.70,167.99,168.66,820.75
4,520.08,528.86,158.41,279.72,951.29
5,517.10,489.87,195.05,248.50,888.07
6,599.77,589.27,198.43,240.76,1065.78
7,725.45,664.44,212.30,410.41,1493.23
8,611.42,583.48,190.65,234.70,1037.38
9,560.64,561.64,218.14,211.08,1077.28
10,704.90,666.55,199.31,404.17,1505.59
