"# Configurações: PROTOCOLO=udp, PRINT_OUTPUT=True, WRITE_TO_FILE=False"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,292.45,241.83,495.25,85.31,16423.49
2,266.89,242.63,246.16,80.87,8874.63
3,276.12,264.16,101.39,87.81,1592.98
4,273.57,250.23,202.86,83.39,6634.90
5,307.27,290.46,216.02,90.62,9262.85
6,299.16,274.48,200.97,83.73,6155.47
7,293.54,280.95,138.94,71.23,3161.20
8,263.75,248.98,110.42,67.49,3504.58
9,282.03,259.61,406.73,83.26,19838.33
10,259.87,231.68,355.89,66.46,17633.83
