"# Configurações: PROTOCOLO=tcp, SESSÃO=False, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,151.34,96.21,146.50,39.21,4666.04
2,144.07,81.56,255.88,46.97,10597.42
3,143.66,89.94,118.32,51.73,1010.38
4,186.20,132.44,151.79,38.82,2040.03
5,263.19,243.72,188.00,37.96,2290.73
6,169.55,94.88,159.20,48.74,1692.13
7,167.04,100.73,166.27,44.39,4049.40
8,169.66,97.88,148.55,52.48,1651.46
9,163.60,92.95,145.73,51.45,1808.02
10,189.97,121.03,315.56,50.39,14117.04
