"# Configurações: SERVER_HOST=localhost, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,245.01,177.88,336.10,55.72,16704.39
2,91.02,70.94,69.59,54.78,2895.47
3,113.29,78.09,126.49,61.70,4130.95
4,114.91,77.61,271.14,55.29,16437.15
5,312.48,287.93,204.97,62.48,5297.26
6,100.76,71.66,219.90,61.46,12889.83
7,164.53,86.39,209.56,62.66,8175.61
8,205.60,134.00,142.98,61.23,1937.50
9,85.25,70.73,48.75,59.04,1544.59
10,108.90,71.86,89.91,59.95,1020.43
