"# Configurações: PROTOCOLO=udp, PRINT_OUTPUT=False, WRITE_TO_FILE=True"
Execução,Média (µs),Mediana (µs),Desvio Padrão (µs),Mínimo (µs),Máximo (µs)
1,128.35,76.90,125.56,53.60,1972.04
2,90.91,71.77,147.42,59.96,6488.01
3,102.75,74.52,94.67,56.59,3413.87
4,97.58,71.63,313.40,50.17,18980.71
5,88.04,72.60,42.98,54.64,902.23
6,91.04,73.25,60.82,62.03,1247.08
7,90.18,69.11,177.63,50.02,8342.87
8,100.52,79.14,57.85,56.79,1237.23
9,98.78,75.25,64.04,58.34,1819.62
10,186.74,131.31,141.30,52.97,2750.86
